arquivo,n,primal_bound,dual_bound,gap,tempo
gen1_instance1.txt,200,4343.269999999999,11638.400634091635,0.626815561987312,1800.0337159633636
gen1_instance2.txt,200,4536.469999999999,12201.816192522032,0.6282135439165026,1800.0282130241394
gen1_instance3.txt,50,645.62,645.62,0.0,7.893193006515503
gen1_instance4.txt,25,261.06,261.06,0.0,0.08719801902770996
gen1_instance5.txt,100,1508.2500000000002,2096.01,0.28041850945367625,1800.0053131580353
gen2_instance1.txt,50,575.87,575.92,8.681761355735957e-05,5.727642059326172
gen2_instance2.txt,400,12718.050000000003,88630.33868883591,0.8565045537662828,1800.0745649337769
gen2_instance3.txt,25,210.16,210.16,0.0,0.09692597389221191
gen2_instance4.txt,400,10350.299999999996,88339.98809832608,0.8828356192613511,1800.0782549381256
gen2_instance5.txt,100,1510.57,2142.75,0.29503208493758026,1800.0042068958282
gen3_instance1.txt,400,238058.87000000017,238058.87000000017,0.0,31.092778205871582
gen3_instance2.txt,100,14887.429999999997,14887.429999999997,0.0,0.19926214218139648
gen3_instance3.txt,200,59765.97,59771.620000000235,9.452646590864132e-05,2.088826894760132
gen3_instance4.txt,25,981.0500000000001,981.0500000000001,0.0,0.006838083267211914
gen3_instance5.txt,25,766.71,766.71,0.0,0.007190227508544922
